country_code,subdivision_name,municipality,provider,static_url,realtime_url,min_lon,max_lon,min_lat,max_lat,uuid,tz_str,epsg_code
CA,Nova Scotia,Halifax,Halifax Transit,http://gtfs.halifax.ca/static/google_transit.zip,http://gtfs.halifax.ca/realtime/Vehicle/VehiclePositions.pb,-63.858243,-63.28321,44.565098,44.886253,78a4184e-6a40-4257-95ac-fffa326597e8,America/Halifax,32620
CA,Ontario,Thunder Bay,Thunder Bay Transit,http://api.nextlift.ca/gtfs.zip,http://api.nextlift.ca/gtfs-realtime/vehicleupdates.pb,-89.38849,-89.1819,48.34626,48.47868,847171df-adc3-4d9d-9706-e974b1739445,America/Toronto,32616
CA,Québec,Varennes,Exo Sorel-Varennes,https://exo.quebec/xdata/citsv/google_transit.zip,https://opendata.exo.quebec/ServiceGTFSR/VehiclePosition.pb?agency=CITSV,-73.540802,-73.084444,45.524297,46.046225,1ccd90d9-1086-4bf1-9583-b0b63f6833f0,America/Toronto,32618
CA,Québec,La Vallée-du-Richelieu,Exo Vallée du Richelieu,https://exo.quebec/xdata/citvr/google_transit.zip,https://opendata.exo.quebec/ServiceGTFSR/VehiclePosition.pb?agency=CITVR,-73.564192,-72.88893,45.496375,45.652233,e6605521-9774-4cd8-8a4d-9fd446063914,America/Toronto,32618
CA,Québec,Sainte-Julie,Exo Ville de Sainte-Julie,https://exo.quebec/xdata/omitsju/google_transit.zip,https://opendata.exo.quebec/ServiceGTFSR/VehiclePosition.pb?agency=OMITSJU,-73.56448,-73.288934,45.497418,45.63169,8f392db0-4b1b-4b7f-8036-4fb7504bb196,America/Toronto,32618
CA,Québec,L'Assomption,Exo L'Assomption,https://exo.quebec/xdata/mrclasso/google_transit.zip,https://opendata.exo.quebec/ServiceGTFSR/VehiclePosition.pb?agency=MRCLASSO,-73.539828,-73.277404,45.589483,45.901438,9523f994-7c76-4cfc-ba9b-2b5751f90f28,America/Toronto,32618
CA,British Columbia,Port Alberni,Port Alberni,https://bct.tmix.se/Tmix.Cap.TdExport.WebApi/gtfs/?operatorIds=11,https://bct.tmix.se/gtfs-realtime/vehicleupdates.pb?operatorIds=11,-124.85047,-124.78265,49.21847,49.27743,16c4e44f-108d-4e04-80ab-b305093f1328,America/Vancouver,32610
FI,Keski-Suomi,Jyväskylä,"Jyväskylän Liikenne Oy, Koivuranta Oy, Uuraisten Liikenne Ky, Savo-Karjalan Linja Oy, Linja-Karjala Oy, Oulun taksipalvelut Oy, Oubus Oy, Suorsan Liikenne Ky, Koskilinjat Oy, Oy Pohjolan liikenne Ab, Kuopion Liikenne Oy, Autolinjat Oy, ML-Charter Oy, Etelä-Suomen Linjaliikenne Oy, Linjaliikenne Martti Laurila Oy, Kari Väisänen Ky, Matkatoimisto Matka-Majuri Ky, Linja-autoliikenne P. Puolakka Ky, Elimäen Liikenne Oy, Anjalankosken Linja Oy, Savonlinja Oy, Liikenne M. Heikura Oy, Jääskeläisen Auto Oy, Kilpailutus käynnissä, TILAUSAJOT MENNÄÄN BUSSILLA OY, Revon Turistiliikenne Oy, Matkamestarit Oy, R-Kioski, A. Valppu Oy, Invataksi Niemi Oy, Oy Wiik & Ström Ab, Oravaisten Liikenne Oy, Vaasan Paikallisliikenne Oy, Koiviston Auto Oy, Lehtimäen Liikenne Oy, Järvisen Liikenne Oy, Niemisen Linjat Oy, Bus Travel Oy Reissu Ruoti, Taksi- ja linja-autoliikenne Timo Lahtinen, SL-Autoyhtymä Oy, Linja-autoliike E Ahonen Ky, Lehdon Liikenne Oy, HämeBus Oy, Tuuri Jaakko Juhani, Pekolan Liikenne Oy, Mikkolan Liikenne Oy, Vekka Liikenne Oy, Inter Kuljetus Oy, Valkeakosken Liikenne Oy, Matkahuolto Oy, ELY, Ventoniemi Oy, Yhdysliikenne Oy, MIKA K. NISKANEN OY, Kantamatkat, LINJA-AUTOLIIKE YRJÖ MAKKONEN & KUMPP, SOISALON LIIKENNE OY, Pohjolan Matka, HENKILÖKULJETUS RISSANEN OY, V.Alamäki Oy, Kai Heikkinen Oy, Savo Kainuun Tilausmatkat Ky, Kajaanin Tila-autot Oy, A Kyllönen Oy, Puolangan Bussipalvelu Ky, Kainuun Tilausliikenne P. Jääskeläinen Ky, Matka-Kyllönen Oy, Jyrkilä Oy, Liikenne Vuorela Oy, Pyhtään Kuljetuspalvelut Oy, Erkki Itkonen Oy, Ihastjärven Linja Oy, Tilausliikenne Himanen, Mikkelin Palvelutaksit Oy, Tuplataxi, Matka Mäkelä Oy, Tilausliikenne Hokkinen Ky, S. J. TOIVONEN OY, E. RANTANEN OY, Kuljetus Mikkonen KY, Linja-autoliike Veljekset Laitinen Oy, TILAUSLIIKENNE HÄNNINEN OY, JOUTSENON AUTO- JA KULJETUSPALVELU OY, TOIMI VENTO KY, NINA´S ERIKOISTAKSIPALVELUT OY, Tarkiainen Matti Olavi, Anssin Tilausliikenne Oy, Rautalammin Auto Oy, Oy Rytkönen & Co, SAIMAAN TURISTILIIKENNE OY, Studio Ticket Pusatec-DO-NOT-USE, Studio Ti",https://tvv.fra1.digitaloceanspaces.com/209.zip,https://data.waltti.fi/jyvaskyla/api/gtfsrealtime/v1.0/feed/vehicleposition,25.3666653747545,26.4944285887841,61.7425528275114,62.62864111217454,cd173e54-d152-4aaf-9c45-ede279ffbc98,Europe/Helsinki,32635
US,California,Commerce,Commerce Municipal Bus Lines,https://citycommbus.com/gtfs,https://citycommbus.com/gtfs-rt/vehiclepositions,-118.264252,-118.127642,33.965568,34.063075,97b3ab44-c33b-4ac8-9468-cfe582f201ca,America/Los_Angeles,32611
FI,Päijät-Häme,Lahti,"Haarasilta Toivo Samuli, Järvisen Liikenne Oy, Koiviston Auto Oy, Lehtimäen Liikenne Oy, Bus Travel Oy Reissu Ruoti, Tilausliikenne Kuisma Ky",https://tvv.fra1.digitaloceanspaces.com/223.zip,https://data.waltti.fi/lahti/api/gtfsrealtime/v1.0/feed/vehicleposition,25.2492841801289,26.2609529033383,60.6772517226169,61.5800619928604,8ccc2bab-ae57-44b9-b989-e6dbae4d41ed,Europe/Helsinki,32635
FI,Pohjois-Karjala,Joensuu,"Linja-Karjala Oy, Savo-Karjalan Linja Oy",https://tvv.fra1.digitaloceanspaces.com/207.zip,https://data.waltti.fi/joensuu/api/gtfsrealtime/v1.0/feed/vehicleposition,28.924184940398234,30.936747,62.092129,63.325670884853885,ff767665-d709-43a5-a91a-f301c076b7f8,Europe/Helsinki,32635
IT,Lazio,Rome,Roma Servizi per la Mobilità,https://romamobilita.it/sites/default/files/rome_static_gtfs.zip,https://romamobilita.it/sites/default/files/rome_rtgtfs_vehicle_positions_feed.pb,12.107767,12.789177,41.648593,42.4415,8c65147e-9e2c-4fdd-8c66-2807307237b0,Europe/Rome,32633
US,Washington,Seattle,King County Metro,https://gtfs.sound.obaweb.org/prod/1_gtfs.zip,https://s3.amazonaws.com/kcm-alerts-realtime-prod/vehiclepositions.pb,-122.506622,-121.785835,47.189117,47.871063,ca4b0aa8-74da-4592-b660-a3de1d548c78,America/Los_Angeles,32610
US,California,Modesto,Stanislaus Regional Transit Authority (StanRTA),https://www.stanrta.org/DocumentCenter/View/609/preview-gtfs.zip,https://max.availtec.com/InfoPoint/GTFS-Realtime.ashx?Type=VehiclePosition,-121.898961218,-120.74953,37.25713,37.954866,57470310-7d2e-491a-a606-a96e085217c3,America/Los_Angeles,32610
